CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Sugarcane,119,642,23,46,1
Coffee,45,273,15,25,0
Groundnuts,24,199,23,51,0
Coffee,88,130,23,26,0
Wheat,10,400,30,15,0
Wheat,39,541,16,56,1
Groundnuts,19,355,35,46,1
Maize,119,507,18,30,1
Groundnuts,87,579,19,21,1
Maize,51,368,26,17,0
Potato,81,188,17,26,0
Garden Flowers,117,132,21,60,0
Paddy,44,120,25,34,0
Sugarcane,150,222,31,32,0
Garden Flowers,101,512,21,81,1
Maize,76,161,30,37,0
Wheat,9,561,22,58,1
Paddy,33,716,29,31,1
Wheat,5,207,24,21,0
Maize,83,449,30,19,1
Garden Flowers,64,347,15,78,1
Sugarcane,150,774,24,66,1
Pulse,42,543,30,19,1
Paddy,100,350,26,36,1
Wheat,19,635,21,47,1
Coffee,26,570,15,28,1
Wheat,26,435,28,59,1
Potato,104,450,19,62,0
Sugarcane,112,670,22,66,1
Maize,1,400,30,20,1
Potato,15,189,18,64,0
Coffee,32,619,24,27,1
Wheat,85,266,29,29,0
Coffee,70,544,22,28,1
Garden Flowers,71,273,34,71,0
Coffee,38,347,25,15,1
Sugarcane,136,657,29,46,1
Garden Flowers,134,252,20,61,0
Maize,96,220,26,12,0
Garden Flowers,11,672,25,81,1
Coffee,86,349,26,23,1
Sugarcane,142,666,26,70,1
Wheat,50,270,23,45,0
Wheat,109,512,31,56,1
Garden Flowers,87,543,30,61,1
Groundnuts,112,552,24,40,1
Sugarcane,210,611,22,19,1
Sugarcane,26,212,27,31,0
Sugarcane,69,288,24,28,0
Potato,76,372,27,31,0
Sugarcane,172,128,30,29,0
Maize,80,707,27,18,1
Sugarcane,47,210,17,70,0
Garden Flowers,119,205,23,71,0
Paddy,140,482,37,34,1
Wheat,22,495,17,23,1
Sugarcane,106,735,29,48,1
Garden Flowers,81,292,21,78,0
Wheat,89,415,21,49,0
Wheat,71,442,14,51,1
Coffee,12,603,30,17,1
Potato,53,530,26,39,1
Paddy,42,400,41,12,1
Wheat,108,168,23,38,0
Coffee,70,223,26,18,0
Garden Flowers,138,749,21,66,1
Wheat,62,648,16,59,1
Garden Flowers,27,341,14,75,1
Sugarcane,88,478,30,45,1
Sugarcane,128,147,22,43,0
Sugarcane,160,823,21,36,1
Paddy,49,672,39,43,1
Maize,93,312,37,18,0
Wheat,23,453,17,37,1
Paddy,100,206,38,22,0
Groundnuts,15,559,21,44,1
Groundnuts,52,162,24,18,0
Wheat,21,531,27,55,1
Groundnuts,11,289,24,19,0
Coffee,71,201,25,17,0
Paddy,99,397,38,33,0
Garden Flowers,58,329,20,70,0
Paddy,72,260,25,40,0
Potato,68,498,20,21,1
Sugarcane,105,321,21,21,0
Sugarcane,115,280,37,14,0
Sugarcane,108,828,20,33,1
Coffee,85,580,29,21,1
Wheat,82,215,18,22,0
Potato,94,637,22,35,1
Maize,119,697,19,28,1
Wheat,2,743,18,63,1
Wheat,49,744,30,29,1
Coffee,26,666,20,17,1
Potato,24,333,18,27,1
Paddy,24,255,29,32,0
Sugarcane,154,655,31,55,1
Potato,50,239,17,65,0
Coffee,68,324,30,18,1
Wheat,64,250,18,17,0
Wheat,8,350,21,28,0
Potato,14,672,14,28,1
Groundnuts,53,303,23,32,0
Sugarcane,113,655,31,49,1
Potato,93,217,15,17,0
Sugarcane,13,381,28,64,1
Wheat,15,510,20,47,1
Maize,67,418,35,30,1
Paddy,122,615,30,54,1
Wheat,60,729,30,48,1
Maize,13,461,33,29,1
Groundnuts,37,678,27,20,1
Sugarcane,158,849,32,39,1
Garden Flowers,154,361,34,73,0
Sugarcane,41,283,24,31,0
Sugarcane,136,307,28,11,0
Wheat,30,400,34,32,0
Potato,99,201,24,30,0
Wheat,108,639,17,28,1
Sugarcane,107,220,23,40,0
Groundnuts,101,173,27,17,0
Paddy,77,818,23,44,1
Potato,10,331,29,18,0
Wheat,121,990,34,26,1
Paddy,74,742,25,55,1
Wheat,18,570,25,35,1
Coffee,30,448,26,25,1
Maize,2,696,35,20,1
Coffee,4,133,15,19,0
Wheat,45,700,21,15,1
Pulse,48,478,33,41,1
Coffee,18,464,27,24,1
Wheat,114,339,21,51,0
Paddy,73,234,39,18,0
Maize,57,211,34,30,0
Pulse,36,498,30,24,1
Sugarcane,18,462,28,33,1
Garden Flowers,78,320,17,77,0
Potato,70,356,26,38,1
Garden Flowers,84,129,29,61,0
Coffee,17,525,21,21,1
Groundnuts,110,336,38,28,1
Wheat,76,306,24,52,1
Wheat,36,561,20,61,1
Potato,19,176,25,44,0
Coffee,85,171,19,21,0
Sugarcane,147,247,37,20,0
Wheat,103,311,18,32,0
Garden Flowers,15,718,27,61,1
Wheat,26,768,20,33,1
Sugarcane,177,935,30,32,1
Paddy,139,584,28,23,1
Wheat,13,279,20,32,0
Maize,4,450,31,21,1
Sugarcane,70,330,24,14,0
Sugarcane,148,710,31,34,1
Paddy,63,686,20,49,1
Sugarcane,35,867,31,71,1
Sugarcane,70,381,22,27,0
Sugarcane,74,124,21,32,0
Maize,36,215,31,39,0
Maize,50,261,32,27,0
Potato,34,410,16,69,0
Wheat,35,744,28,52,1
Coffee,85,273,18,16,0
Maize,47,680,39,33,1
Sugarcane,50,374,24,30,0
Maize,7,330,25,25,1
Paddy,80,146,27,20,0
Sugarcane,4,262,22,24,0
Sugarcane,199,566,32,62,1
Maize,33,801,33,18,1
Sugarcane,45,129,18,70,0
Sugarcane,155,486,34,40,1
Wheat,19,195,22,17,0
Coffee,87,228,27,14,0
Potato,66,390,17,30,1
Coffee,41,534,27,24,1
Maize,45,157,20,41,0
Sugarcane,144,142,29,13,0
Sugarcane,140,770,33,48,1
Wheat,63,251,14,18,0
Garden Flowers,36,280,20,65,0
Groundnuts,100,551,39,27,1
Wheat,40,417,17,34,0
Potato,39,284,21,38,0
Maize,21,122,22,27,0
Wheat,3,230,27,53,0
Coffee,43,578,25,15,1
Pulse,40,175,19,34,0
Wheat,39,724,30,30,1
Groundnuts,24,236,23,38,0
Sugarcane,194,634,34,36,1
Groundnuts,56,134,20,38,0
Coffee,59,317,28,25,0
Potato,55,367,28,43,1
Maize,48,350,35,20,1
Wheat,116,352,16,49,0
Maize,36,256,38,23,0
Pulse,91,120,32,44,0
Potato,92,525,18,34,1
Groundnuts,77,611,21,33,1
Groundnuts,79,759,34,29,1
Wheat,21,405,14,38,0
Wheat,88,197,27,53,0
Groundnuts,46,147,27,18,0
Groundnuts,75,614,32,45,1
Paddy,14,366,31,13,0
Sugarcane,54,219,32,33,0
Wheat,51,292,26,14,0
Coffee,63,620,25,24,1
Wheat,38,487,20,24,1
Garden Flowers,89,179,18,78,0
Groundnuts,39,597,23,30,1
Potato,29,153,14,33,0
Wheat,6,198,26,53,1
Sugarcane,13,730,23,35,1
Sugarcane,192,151,26,31,0
Wheat,48,327,16,30,0
Wheat,62,444,16,51,1
Garden Flowers,109,193,15,67,0
Sugarcane,3,217,32,42,0
Wheat,87,170,30,52,0
Wheat,5,694,15,43,1
Garden Flowers,44,407,29,84,1
Wheat,7,735,27,28,1
Coffee,83,143,27,25,0
Wheat,3,309,30,35,0
Garden Flowers,167,318,20,79,0
Pulse,19,559,28,32,1
Coffee,80,394,21,28,1
Wheat,101,543,23,31,1
Potato,60,292,27,18,0
Wheat,58,679,19,34,1
Wheat,101,142,23,15,0
Garden Flowers,141,315,31,70,0
Wheat,111,506,19,63,1
Groundnuts,103,747,30,54,1
Wheat,156,880,34,33,0
Wheat,85,300,25,19,0
Paddy,149,563,37,24,1
Sugarcane,159,367,21,21,0
Coffee,5,496,19,25,1
Garden Flowers,94,727,24,83,1
Coffee,10,129,30,26,0
Groundnuts,74,375,25,34,0
Potato,81,428,28,51,1
Coffee,57,242,28,25,0
Paddy,146,191,29,27,0
Sugarcane,78,203,36,35,0
Sugarcane,190,692,36,25,1
Sugarcane,134,843,31,28,1
Potato,93,643,19,47,1
Wheat,106,277,30,29,0
Potato,18,466,14,48,1
Maize,38,528,25,33,1
Potato,6,244,16,21,0
Sugarcane,5,552,27,38,1
Pulse,7,345,24,37,1
Paddy,15,510,25,33,1
Wheat,18,776,19,51,1
Coffee,17,515,17,29,1
Sugarcane,156,727,33,37,1
Paddy,92,415,21,25,0
Coffee,60,314,15,17,0
Groundnuts,85,178,39,36,0
Maize,75,206,35,22,0
Paddy,75,760,31,14,1
Sugarcane,35,550,25,49,1
Groundnuts,93,310,38,19,0
Maize,1,319,33,39,0
Garden Flowers,16,275,15,74,0
Sugarcane,30,630,21,69,1
Groundnuts,52,339,25,22,1
Sugarcane,77,178,34,27,0
Maize,59,343,33,16,0
Coffee,14,120,31,22,0
Maize,59,494,33,27,1
Wheat,111,676,23,49,1
Garden Flowers,49,144,34,80,0
Coffee,13,305,17,16,0
Coffee,36,122,31,20,0
Groundnuts,37,726,39,38,1
Potato,22,241,29,27,0
Coffee,61,134,24,26,0
Wheat,77,458,22,30,1
Groundnuts,12,342,36,41,1
Pulse,92,407,20,38,1
Sugarcane,46,357,26,33,0
Groundnuts,89,344,29,26,0
Garden Flowers,47,184,16,77,0
Groundnuts,60,789,24,19,1
Sugarcane,122,806,24,34,1
Potato,87,671,17,57,1
Groundnuts,47,411,18,41,1
Potato,92,269,17,64,0
Wheat,105,306,32,67,0
Garden Flowers,162,670,31,82,1
Sugarcane,113,808,30,54,1
Groundnuts,48,352,24,28,0
Groundnuts,70,493,39,27,1
Pulse,29,172,28,32,0
Sugarcane,132,801,36,65,1
Wheat,103,639,18,20,1
Wheat,49,649,18,23,1
Groundnuts,106,341,37,40,0
Sugarcane,132,232,32,15,0
Sugarcane,129,622,27,74,1
Maize,59,247,24,13,0
Wheat,59,334,30,27,0
Pulse,71,283,20,46,0
Potato,55,339,25,43,0
Paddy,1,300,30,17,1
Potato,62,263,29,34,0
Wheat,52,342,23,29,0
Paddy,127,287,39,13,0
Wheat,86,313,20,56,1
Garden Flowers,17,371,28,77,0
Wheat,98,300,27,12,0
Maize,33,550,27,23,1
Paddy,127,223,32,29,0
Groundnuts,103,525,23,52,1
Garden Flowers,106,451,18,79,1
Wheat,69,721,26,60,1
Coffee,37,299,28,14,0
Sugarcane,112,478,21,54,1
Maize,58,425,26,27,1
Groundnuts,64,205,28,54,0
Paddy,10,147,26,13,0
Wheat,2,232,18,27,0
Wheat,89,429,24,50,1
Wheat,64,504,30,27,1
Sugarcane,40,322,37,13,0
Maize,97,185,30,41,0
Coffee,52,303,20,20,1
Paddy,103,252,22,21,0
Sugarcane,131,291,20,45,0
Sugarcane,14,239,29,26,0
Wheat,132,600,22,21,0
Wheat,12,536,20,29,1
Groundnuts,108,159,24,20,0
Maize,100,358,32,43,0
Garden Flowers,133,700,33,76,1
Sugarcane,56,339,18,69,0
Sugarcane,180,169,30,19,0
Coffee,31,199,30,27,0
Groundnuts,15,352,33,30,1
Coffee,1,625,22,18,1
Maize,76,239,25,40,0
Sugarcane,89,529,36,32,1
Wheat,26,425,26,17,0
Potato,82,230,16,68,0
Wheat,39,228,23,49,0
Paddy,21,650,35,12,1
Wheat,73,377,26,44,1
Groundnuts,75,517,25,15,1
Sugarcane,145,214,28,45,0
Wheat,19,649,29,61,0
Groundnuts,66,780,22,21,1
Paddy,55,376,24,16,0
Potato,49,625,29,68,1
Coffee,29,540,27,15,1
Sugarcane,73,742,20,64,1
Sugarcane,186,300,29,40,0
Sugarcane,39,829,36,59,1
Coffee,45,221,23,17,0
Sugarcane,69,168,29,15,0
Wheat,92,617,28,26,1
Garden Flowers,2,572,30,77,1
Sugarcane,101,891,29,57,1
Maize,4,155,35,14,0
Maize,114,760,21,18,1
Maize,17,364,31,13,0
Sugarcane,168,764,29,39,1
Maize,90,682,23,29,1
Paddy,148,850,23,31,1
Wheat,109,393,19,45,0
Potato,45,245,24,44,0
Sugarcane,27,550,20,65,1
Garden Flowers,19,350,22,60,1
Potato,44,120,23,43,0
Coffee,80,499,27,27,1
Garden Flowers,166,642,21,66,1
Groundnuts,87,248,19,33,0
Sugarcane,37,157,18,70,0
Paddy,129,750,24,58,1
Coffee,12,468,17,17,1
Wheat,41,570,23,15,0
Garden Flowers,175,209,30,62,0
Wheat,27,350,34,43,0
Coffee,89,507,16,24,1
Sugarcane,139,268,22,22,0
Sugarcane,76,195,33,25,0
Paddy,148,272,21,19,0
Wheat,12,337,26,50,0
Sugarcane,179,167,23,44,0
Wheat,110,301,14,50,0
Sugarcane,144,210,30,38,0
Wheat,15,272,30,43,0
Potato,1,443,18,22,1
Coffee,21,211,25,16,0
Wheat,74,600,23,15,0
Groundnuts,19,650,22,35,1
Sugarcane,143,577,34,70,1
Wheat,74,338,26,50,1
Potato,18,229,27,34,0
Wheat,25,305,16,50,0
Potato,22,287,15,70,0
