Area,Year,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Bulgaria,2001,Rice,48001.003000000004,608.0,2747.25,9.55
Bulgaria,2002,Rice,43099.003,608.0,2618.5,9.6
Bulgaria,2004,Rice,49596.004,608.0,2361.0,9.18
Bulgaria,2005,Rice,44801.0,608.0,2232.25,8.58
Bulgaria,2006,Rice,44080.0,608.0,2103.5,9.08
Bulgaria,2007,Rice,46447.005,608.0,1974.75,10.23
Bulgaria,2008,Rice,49621.005,608.0,1846.0,9.9
Bulgaria,2009,Rice,52263.002,608.0,1717.25,9.74
Bulgaria,2010,Rice,47952.003000000004,608.0,1588.5,9.65
Bulgaria,2011,Rice,50563.0,608.0,1459.75,9.17
Bulgaria,2012,Rice,55605.0,608.0,1331.0,9.99
Bulgaria,2013,Rice,54945.00000000001,608.0,1197.0,11.26
Burkina Faso,1990,Rice,20783.002,748.0,29.1,28.77
Burkina Faso,1991,Rice,21444.001,748.0,29.1,28.4
Burkina Faso,1992,Rice,18831.0,748.0,29.1,28.06
Burkina Faso,1993,Rice,21629.999999999996,748.0,17.0,28.58
Burkina Faso,1994,Rice,19582.001,748.0,6.0,28.0
Burkina Faso,1995,Rice,19249.002,748.0,3.04,28.46
Burkina Faso,1996,Rice,23883.002,748.0,39.16,28.74
Burkina Faso,1997,Rice,15750.0,748.0,75.29,28.52
Burkina Faso,1998,Rice,19388.001,748.0,111.41,28.95
Burkina Faso,1999,Rice,24824.0,748.0,93.43,28.45
Burkina Faso,2000,Rice,25675.0,748.0,75.44,28.6
Burkina Faso,2001,Rice,18795.0,748.0,57.46,28.77
Burkina Faso,2002,Rice,19010.001,748.0,39.47,28.97
Burkina Faso,2004,Rice,15047.001,748.0,1.28,28.9
Burkina Faso,2005,Rice,17791.001,748.0,92.21,29.18
Burkina Faso,2006,Rice,25724.0,748.0,109.24,28.92
Burkina Faso,2007,Rice,17002.001,748.0,292.05,28.96
Burkina Faso,2008,Rice,24355.001,748.0,190.92,28.4
Burkina Faso,2009,Rice,23154.001,748.0,132.3,29.05
Burkina Faso,2010,Rice,20238.001,748.0,442.89,29.17
Burkina Faso,2011,Rice,17676.0,748.0,843.0,29.03
Burkina Faso,2012,Rice,23336.003,748.0,843.0,28.67
Burkina Faso,2013,Rice,21993.0,748.0,843.0,29.41
Burundi,1990,Rice,33333.0,1274.0,92.08,21.15
Burundi,1991,Rice,30923.002,1274.0,92.08,20.97
Burundi,1992,Rice,31077.0,1274.0,92.08,21.31
Burundi,1993,Rice,31404.0,1274.0,96.99,21.17
Burundi,1994,Rice,31120.002,1274.0,84.45,21.25
Burundi,1995,Rice,26819.0,1274.0,144.2,21.55
Burundi,1996,Rice,27873.0,1274.0,207.1,21.18
Burundi,1997,Rice,32551.003,1274.0,117.56,21.51
Burundi,1998,Rice,29927.0,1274.0,107.29,21.56
Burundi,1999,Rice,32572.0,1274.0,150.24,21.01
Burundi,2000,Rice,30399.0,1274.0,109.87,21.32
Burundi,2001,Rice,32063.003,1274.0,72.56,21.24
Burundi,2002,Rice,32629.0,1274.0,98.1,21.45
Burundi,2004,Rice,32924.001000000004,1274.0,508.26,21.71
Burundi,2005,Rice,34144.0,1274.0,304.83,22.29
Burundi,2006,Rice,33322.0,1274.0,190.51,21.83
Burundi,2007,Rice,33767.002,1274.0,412.66,21.28
Burundi,2008,Rice,32203.002,1274.0,456.44,21.29
Burundi,2009,Rice,32680.001,1274.0,177.75,21.42
Burundi,2010,Rice,28077.002,1274.0,264.53,21.75
Burundi,2011,Rice,26848.001,1274.0,75.64,21.23
Burundi,2012,Rice,21041.002,1274.0,98.59,21.44
Burundi,2013,Rice,19130.001,1274.0,956.06,21.53
Cameroon,1990,Rice,49999.003000000004,1604.0,450.01,25.08
Cameroon,1991,Rice,36400.0,1604.0,99.09,24.99
Cameroon,1992,Rice,35000.002,1604.0,1137.56,24.6
Cameroon,1993,Rice,29000.0,1604.0,774.49,24.9
Cameroon,1994,Rice,31807.0,1604.0,411.42,24.93
Cameroon,1995,Rice,31520.001999999997,1604.0,48.35,25.21
Cameroon,1996,Rice,31391.003,1604.0,180.08,25.0
Cameroon,1997,Rice,33636.003,1604.0,630.12,24.98
Cameroon,1998,Rice,35467.0,1604.0,258.02,25.66
Cameroon,1999,Rice,33095.002,1604.0,653.0,24.97
Cameroon,2000,Rice,30103.002,1604.0,545.0,24.88
Cameroon,2001,Rice,30242.002,1604.0,687.0,25.01
Cameroon,2002,Rice,11137.0,1604.0,815.79,25.26
Cameroon,2004,Rice,12416.0,1604.0,849.48,25.42
Cameroon,2005,Rice,12971.001,1604.0,829.59,25.36
Cameroon,2006,Rice,12905.0,1604.0,950.22,25.39
Cameroon,2007,Rice,10000.0,1604.0,918.88,25.49
Cameroon,2008,Rice,10000.0,1604.0,882.13,25.42
Cameroon,2009,Rice,27475.002,1604.0,813.77,25.54
Cameroon,2010,Rice,10935.999999999998,1604.0,1160.63,25.7
Cameroon,2011,Rice,13464.001,1604.0,1372.47,25.25
Cameroon,2012,Rice,14217.0,1604.0,1372.47,25.18
Cameroon,2013,Rice,11641.0,1604.0,1372.47,25.45
Chile,1990,Rice,41734.0,1522.0,15373.0,12.88
Chile,1991,Rice,39366.002,1522.0,15373.0,13.0
Chile,1992,Rice,42044.0,1522.0,15373.0,12.93
Chile,1993,Rice,44921.002,1522.0,15373.0,13.26
Chile,1994,Rice,43834.0,1522.0,15373.0,13.42
Chile,1995,Rice,43000.0,1522.0,15373.0,13.02
Chile,1996,Rice,47704.00000000001,1522.0,15373.0,13.16
Chile,1997,Rice,36336.002,1522.0,15373.0,13.66
Chile,1998,Rice,39089.0,1522.0,15373.0,13.19
Chile,1999,Rice,41508.0,1522.0,15373.0,13.24
Chile,2000,Rice,52414.002,1522.0,14264.54,12.99
Chile,2001,Rice,50179.0,1522.0,13156.09,13.16
Chile,2002,Rice,50724.0,1522.0,12047.63,12.95
Chile,2004,Rice,47897.99999999999,1522.0,9830.72,13.44
Chile,2005,Rice,46677.003,1522.0,9830.72,13.06
Chile,2006,Rice,57296.004,1522.0,9830.72,13.19
Chile,2007,Rice,50663.0,1522.0,9830.72,12.31
Chile,2008,Rice,57920.003,1522.0,9830.72,13.69
Chile,2009,Rice,53762.99999999999,1522.0,9830.72,13.04
Chile,2010,Rice,38599.0,1522.0,9830.72,12.69
Chile,2011,Rice,51899.0,1522.0,9830.72,13.25
Chile,2012,Rice,62435.0,1522.0,9830.72,13.48
Chile,2013,Rice,62051.005000000005,1522.0,9830.72,13.07
Colombia,1990,Rice,40618.005000000005,3240.0,18058.29,27.22
Colombia,1991,Rice,39959.002,3240.0,16817.0,27.3
Colombia,1992,Rice,40960.0,3240.0,15305.94,27.38
Colombia,1993,Rice,41202.0,3240.0,14961.81,27.42
Colombia,1994,Rice,40590.0,3240.0,17051.34,27.17
Colombia,1995,Rice,42840.004,3240.0,20156.23,27.3
Colombia,1996,Rice,40794.0,3240.0,18131.0,27.12
Colombia,1997,Rice,46445.003,3240.0,16005.0,27.54
Colombia,1998,Rice,47116.003,3240.0,60687.0,27.67
Colombia,1999,Rice,48009.00000000001,3240.0,66088.0,26.77
Colombia,2000,Rice,47324.0,3240.0,75843.0,26.98
Colombia,2001,Rice,45472.0,3240.0,85515.3,27.28
Colombia,2002,Rice,48001.003000000004,3240.0,84023.26,27.77
Colombia,2004,Rice,48038.0,3240.0,105514.19,27.3
Colombia,2005,Rice,48388.0,3240.0,117881.45,27.56
Colombia,2006,Rice,45717.006,3240.0,98328.63,27.51
Colombia,2007,Rice,49020.004,3240.0,82439.06,27.45
Colombia,2008,Rice,48887.005,3240.0,48538.97,27.16
Colombia,2009,Rice,46956.005000000005,3240.0,51435.13,27.68
Colombia,2010,Rice,41223.0,3240.0,48618.46,27.54
Colombia,2011,Rice,39589.0,3240.0,53797.0,27.18
Colombia,2012,Rice,40403.00399999999,3240.0,48727.73,27.56
Colombia,2013,Rice,38448.002,3240.0,54563.38,27.6
Dominican Republic,1990,Rice,47851.005000000005,1410.0,4971.0,26.67
Dominican Republic,1991,Rice,48092.003,1410.0,4971.0,26.57
Dominican Republic,1992,Rice,89767.01000000001,1410.0,4971.0,26.45
Dominican Republic,1993,Rice,50096.0,1410.0,4971.0,26.41
Dominican Republic,1994,Rice,46589.003,1410.0,4971.0,26.78
Dominican Republic,1995,Rice,47722.005999999994,1410.0,3449.0,26.82
Dominican Republic,1996,Rice,46016.0,1410.0,3493.0,26.29
Dominican Republic,1997,Rice,48213.0,1410.0,3846.0,27.18
Dominican Republic,1998,Rice,42709.002,1410.0,4375.0,27.16
Dominican Republic,1999,Rice,45422.006,1410.0,5398.0,26.66
Dominican Republic,2000,Rice,46372.004,1410.0,5082.0,26.37
Dominican Republic,2001,Rice,48950.005,1410.0,7182.0,26.78
Dominican Republic,2002,Rice,48593.0,1410.0,4018.07,27.08
Dominican Republic,2004,Rice,43044.0,1410.0,3713.96,26.83
Dominican Republic,2005,Rice,42047.005000000005,1410.0,3515.56,27.03
Dominican Republic,2006,Rice,46865.0,1410.0,4116.45,27.01
Dominican Republic,2007,Rice,48112.006,1410.0,5689.8,27.08
Dominican Republic,2008,Rice,48268.00000000001,1410.0,5409.43,26.76
Dominican Republic,2009,Rice,42862.005,1410.0,5975.25,26.91
Dominican Republic,2010,Rice,47651.005,1410.0,6316.61,26.93
Dominican Republic,2011,Rice,50057.006,1410.0,6316.61,26.79
Dominican Republic,2012,Rice,41266.003,1410.0,6316.61,26.87
Dominican Republic,2013,Rice,45123.0,1410.0,6316.61,26.51
Ecuador,1990,Rice,31218.002,2274.0,2537.0,21.82
Ecuador,1991,Rice,26921.003,2274.0,2377.0,21.91
Ecuador,1992,Rice,33254.0,2274.0,2012.0,21.94
Ecuador,1993,Rice,34804.0,2274.0,1844.0,21.86
Ecuador,1994,Rice,37385.0,2274.0,2670.0,21.46
Ecuador,1995,Rice,32622.0,2274.0,2658.0,21.96
Ecuador,1996,Rice,35620.003,2274.0,2407.0,21.34
Ecuador,1997,Rice,35876.002,2274.0,7612.0,22.88
Ecuador,1998,Rice,32060.0,2274.0,21500.0,22.59
Ecuador,1999,Rice,35225.003,2274.0,14216.0,21.21
Ecuador,2000,Rice,36812.0,2274.0,17948.0,21.34
Ecuador,2001,Rice,36000.001,2274.0,7344.0,21.51
Ecuador,2002,Rice,38746.002,2274.0,1302.49,22.23
Ecuador,2004,Rice,42187.004,2274.0,29799.84,22.04
Ecuador,2005,Rice,38989.0,2274.0,18391.23,21.82
Ecuador,2006,Rice,41986.003,2274.0,7953.42,22.09
Ecuador,2007,Rice,43555.0,2274.0,14156.16,21.68
Ecuador,2008,Rice,40639.0,2274.0,15396.14,21.72
Ecuador,2009,Rice,40004.0,2274.0,9666.87,22.01
Ecuador,2010,Rice,34828.002,2274.0,31637.12,21.98
Ecuador,2011,Rice,35936.003,2274.0,17529.44,21.78
Ecuador,2012,Rice,33842.0,2274.0,11469.74,21.86
Ecuador,2013,Rice,30653.001999999997,2274.0,6471.77,21.69
Egypt,1990,Rice,72663.0,51.0,13214.0,20.73
Egypt,1991,Rice,74554.00499999999,51.0,8255.0,20.64
Egypt,1992,Rice,76511.00600000001,51.0,6156.0,20.09
Egypt,1993,Rice,77184.005,51.0,4175.0,20.74
Egypt,1994,Rice,79130.00600000001,51.0,4283.0,21.1
Egypt,1995,Rice,81356.0,51.0,4391.0,20.62
Egypt,1996,Rice,82910.0,51.0,4499.0,20.85
Egypt,1997,Rice,84152.0,51.0,4607.0,20.52
Egypt,1998,Rice,86401.005,51.0,4715.0,21.29
Egypt,1999,Rice,88780.0,51.0,4823.0,21.46
Egypt,2000,Rice,91024.99999999999,51.0,4931.0,20.74
Egypt,2001,Rice,92833.0,51.0,5039.0,21.45
Egypt,2002,Rice,93889.01000000001,51.0,5147.0,21.46
Egypt,2004,Rice,98384.01,51.0,5363.0,21.06
Egypt,2005,Rice,99874.01,51.0,5471.0,21.08
Egypt,2006,Rice,100750.01000000001,51.0,9781.0,21.15
Egypt,2007,Rice,97675.01,51.0,9105.0,21.51
Egypt,2008,Rice,97349.0,51.0,9527.0,21.74
Egypt,2009,Rice,95930.0,51.0,9013.0,21.67
Egypt,2010,Rice,94217.005,51.0,11590.0,22.46
Egypt,2011,Rice,95670.0,51.0,12945.0,21.18
Egypt,2012,Rice,95296.0,51.0,13991.0,21.55
Egypt,2013,Rice,95864.99999999999,51.0,13653.0,21.44
El Salvador,1990,Rice,43271.003,1784.0,2524.0,26.06
El Salvador,1991,Rice,37669.0,1784.0,4096.0,26.08
El Salvador,1992,Rice,43561.0,1784.0,3940.77,26.22
El Salvador,1993,Rice,47076.0,1784.0,3785.54,26.12
El Salvador,1994,Rice,43353.0,1784.0,3630.31,26.33
El Salvador,1995,Rice,53291.00000000001,1784.0,3475.08,26.05
El Salvador,1996,Rice,51627.007000000005,1784.0,3319.85,25.77
El Salvador,1997,Rice,44419.003000000004,1784.0,3164.62,26.48
El Salvador,1998,Rice,49760.003,1784.0,3009.39,26.48
El Salvador,1999,Rice,52531.004,1784.0,2854.16,25.67
El Salvador,2000,Rice,57884.0,1784.0,2698.93,25.78
El Salvador,2001,Rice,60284.004,1784.0,2543.7,25.92
El Salvador,2002,Rice,59384.003,1784.0,2388.47,26.12
El Salvador,2004,Rice,66430.0,1784.0,2078.01,26.2
El Salvador,2005,Rice,72118.0,1784.0,1922.78,26.07
El Salvador,2006,Rice,73941.007,1784.0,2265.72,26.14
El Salvador,2007,Rice,74651.003,1784.0,1940.78,26.02
El Salvador,2008,Rice,79373.0,1784.0,3899.48,25.71
El Salvador,2009,Rice,69016.004,1784.0,3333.88,26.21
El Salvador,2010,Rice,70136.003,1784.0,3598.59,25.96
El Salvador,2011,Rice,54783.0,1784.0,3231.13,25.95
El Salvador,2012,Rice,63968.0,1784.0,2595.16,26.04
El Salvador,2013,Rice,61615.005,1784.0,6005.08,26.36
France,1990,Rice,59461.00000000001,867.0,97701.0,11.96
France,1991,Rice,53273.0,867.0,103434.0,10.6
France,1992,Rice,52448.0,867.0,85249.0,11.15
France,1993,Rice,49628.0,867.0,91953.0,10.7
France,1994,Rice,45700.0,867.0,89515.0,11.96
France,1995,Rice,48627.005,867.0,84011.0,11.69
France,1996,Rice,52455.0,867.0,97890.0,10.14
France,1997,Rice,58919.0,867.0,109792.0,11.59
France,1998,Rice,58281.0,867.0,107753.0,11.25
France,1999,Rice,60915.003,867.0,114695.0,11.83
France,2000,Rice,58358.0,867.0,97878.0,11.74
France,2001,Rice,53602.99999999999,867.0,99694.0,11.37
France,2002,Rice,56910.005000000005,867.0,82448.0,11.87
France,2004,Rice,57098.002,867.0,76099.0,11.34
France,2005,Rice,57314.0,867.0,78265.0,11.55
France,2006,Rice,54756.002,867.0,71612.0,11.79
France,2007,Rice,46354.003,867.0,77255.0,11.75
France,2008,Rice,57599.0,867.0,78577.0,11.28
France,2009,Rice,57406.005999999994,867.0,63676.0,11.46
France,2010,Rice,50432.005000000005,867.0,61903.0,10.41
France,2011,Rice,56262.99999999999,867.0,61039.0,12.33
France,2012,Rice,55947.003000000004,867.0,63547.59,11.22
France,2013,Rice,39400.003,867.0,66497.29,11.01
Ghana,1990,Rice,16510.0,1187.0,65.8,26.73
Ghana,1991,Rice,15901.0,1187.0,65.8,26.6
Ghana,1992,Rice,16499.001,1187.0,65.8,26.47
Ghana,1993,Rice,20389.001000000004,1187.0,65.8,26.67
Ghana,1994,Rice,20062.000000000004,1187.0,65.8,26.62
Ghana,1995,Rice,20192.0,1187.0,65.8,26.87
Ghana,1996,Rice,20496.001,1187.0,1575.5,26.61
Ghana,1997,Rice,16746.0,1187.0,502.0,26.58
Ghana,1998,Rice,14846.999999999998,1187.0,297.78,27.28
Ghana,1999,Rice,19919.001,1187.0,114.13,26.74
Ghana,2000,Rice,21589.0,1187.0,81.63,26.83
Ghana,2001,Rice,20185.0,1187.0,82.0,26.76
Ghana,2002,Rice,22799.0,1187.0,89.88,26.92
Ghana,2004,Rice,20253.0,1187.0,134.25,27.02
Ghana,2005,Rice,23917.0,1187.0,166.16,27.06
Ghana,2006,Rice,20000.0,1187.0,771.58,27.1
Ghana,2007,Rice,17015.0,1187.0,119.86,27.16
Ghana,2008,Rice,22735.002,1187.0,350.83,26.98
Ghana,2009,Rice,24109.0,1187.0,378.97,27.14
Ghana,2010,Rice,27126.001999999997,1187.0,378.97,27.57
Ghana,2011,Rice,23495.002,1187.0,378.97,27.11
Ghana,2012,Rice,25386.002,1187.0,378.97,26.86
Ghana,2013,Rice,26378.002,1187.0,378.97,27.24
Greece,1990,Rice,60000.005,652.0,7420.0,18.05
Greece,1991,Rice,54938.0,652.0,7420.0,17.07
Greece,1992,Rice,73611.007,652.0,7869.0,17.13
Greece,1993,Rice,73904.004,652.0,8826.0,17.53
Greece,1994,Rice,80813.0,652.0,6341.0,18.47
Greece,1995,Rice,81057.00499999999,652.0,6663.0,17.82
Greece,1996,Rice,77561.007,652.0,7296.0,17.46
Greece,1997,Rice,74739.003,652.0,9223.0,17.35
Greece,1998,Rice,72195.00499999999,652.0,10702.0,18.15
Greece,1999,Rice,73028.0,652.0,9635.0,18.82
Greece,2000,Rice,70098.0,652.0,10627.0,18.2
Greece,2001,Rice,71151.004,652.0,10725.0,18.67
Greece,2002,Rice,73683.0,652.0,11852.0,18.33
Greece,2004,Rice,71038.003,652.0,11594.0,18.07
Greece,2005,Rice,74059.005,652.0,12083.0,17.91
Greece,2006,Rice,77137.01000000001,652.0,7505.3,17.78
Greece,2007,Rice,76337.004,652.0,7345.7,18.67
Greece,2008,Rice,73731.003,652.0,5130.8,18.61
